timestamp,elapsed_s,emissions_kg
2025-09-30T21:06:56.929903,0.0020,22.3600
2025-09-30T21:31:00.945585,13.6382,21.9500
2025-10-01T18:12:17.415941,0.0020,0.0000
2025-10-01T18:12:39.178921,0.0020,0.0000
2025-10-01T20:22:20.451330,0.0029,25.9800
2025-10-01T20:24:19.306209,0.0017,25.9800
2025-10-01T20:24:34.455974,0.0018,25.9800
2025-10-01T20:26:00.026670,0.0021,25.9800
2025-10-01T20:26:02.043915,0.0020,25.9800
2025-10-01T20:26:02.980949,0.0026,25.9800
2025-10-01T20:26:13.057106,0.0023,4.7500
2025-10-01T21:02:08.608458,0.0020,4.7500
2025-10-07T10:26:58.259186,0.0535,15.8000,tip_cached
2025-10-07T10:27:06.461216,0.0537,15.8000,tip_cached
2025-10-07T10:27:11.255600,0.0537,15.8000,tip_cached
2025-10-07T10:27:18.012055,0.0544,15.8000,tip_cached
2025-10-07T11:24:29.416089,0.0526,16.9000,tip_cached
2025-10-07T11:24:35.649215,0.0567,16.9000,tip_cached
2025-10-07T11:26:25.481617,0.0526,16.9000,tip_cached
2025-10-07T11:26:52.548208,0.0528,16.9000,tip_cached
2025-10-07T11:27:05.626066,0.0606,16.9000,tip_fresh
2025-10-07T11:27:21.446462,0.0529,16.9000,tip_cached
2025-10-07T11:27:31.385682,0.0597,16.9000,tip_cached
2025-10-07T11:36:37.841221,0.0544,16.9000,tip_cached
2025-10-07T11:36:40.825942,0.0536,16.9000,tip_cached
2025-10-07T11:36:42.971204,0.0528,16.9000,tip_cached
2025-10-07T11:37:19.001305,0.0530,16.9000,tip_cached
2025-10-07T11:37:21.327054,0.0525,16.9000,tip_cached
2025-10-07T11:37:23.451526,0.0531,16.9000,tip_cached
2025-10-07T11:37:24.881322,0.0543,16.9000,tip_cached
2025-10-07T11:37:25.712328,0.0525,16.9000,tip_cached
2025-10-07T11:37:28.773339,0.0531,16.9000,tip_cached
2025-10-07T11:37:30.225336,0.0529,16.9000,tip_cached
2025-10-07T11:37:35.321559,0.0549,16.9000,tip_cached
2025-10-07T11:37:37.818598,0.0525,16.9000,tip_cached
2025-10-07T11:37:39.250750,0.0550,16.9000,tip_cached
2025-10-07T11:37:41.681294,0.0030,16.9000,tip_cached
2025-10-07T21:02:13.143128,0.0528,0.0000,tip_cached
2025-10-07T21:02:14.179142,0.0548,0.0000,tip_cached
2025-10-07T21:02:46.587868,0.0010,0.0000,tip_cached
2025-10-07T21:02:56.886096,0.0555,0.0000,tip_cached
2025-10-07T21:03:05.313763,0.0531,0.0000,tip_cached
2025-10-07T21:03:09.387815,0.0525,0.0000,tip_cached
2025-10-07T21:03:29.978256,0.0530,0.0000,tip_cached
2025-10-07T21:51:44.653640,7.9755,16.9800,tip_fresh
2025-10-07T21:52:06.699122,0.0554,16.9800,tip_cached
2025-10-07T21:55:38.905867,0.0542,16.9800,tip_cached
2025-10-07T21:57:47.715240,8.1129,17.9200,tip_fresh
2025-10-07T22:00:07.283623,0.0536,16.9800,tip_cached
2025-10-07T22:00:33.969947,7.4714,16.7500,tip_fresh
2025-10-07T22:02:06.789833,7.8839,17.4500,tip_fresh
2025-10-07T22:02:15.585662,7.9438,16.2800,tip_fresh
2025-10-07T22:02:24.641332,7.9090,16.7700,tip_fresh
2025-10-07T22:02:40.745524,7.5413,17.1200,tip_fresh
2025-10-07T22:07:20.927486,8.4506,16.3700,tip_fresh
2025-10-07T22:07:36.196679,7.8658,16.8900,tip_fresh
2025-10-07T22:08:07.326036,7.4783,21.3100,tip_fresh
2025-10-07T22:09:15.242244,0.0595,21.3100,tip_cached
2025-10-07T22:09:18.273186,0.0533,21.3100,tip_cached
2025-10-07T22:09:20.765259,0.0533,21.3100,tip_cached
2025-10-07T22:09:41.207487,0.0528,21.3100,tip_cached
2025-10-07T22:45:33.879813,0.0535,23.7900,tip_cached
2025-10-07T22:45:40.319379,0.0526,23.7900,tip_cached
2025-10-07T22:45:45.404970,0.0529,23.7900,tip_cached
2025-10-07T22:45:47.055377,0.0535,23.7900,tip_cached
2025-10-07T22:46:22.190733,0.0528,23.7900,tip_cached
2025-10-07T22:47:46.653603,0.0523,23.7900,tip_cached
